address,city,country,crawl_date,hotel_brand,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,pageurl,property_id,property_name,property_type,province,qts,room_count,room_type,similar_hotel,site_review_count,site_review_rating,site_stay_review_rating,sitename,special_tag,state,uniq_id,zone
"KHIRSU, 246147 Pauri, India – Great location -",pauri,India,2016-09-01,,"Khirsu By GMVN offers accommodation in Pauri. Each room has a TV and offers views of the mountains. Some rooms have a seating area where you can relax. Rooms have a private bathroom. Khirsu By GMVN features free WiFi . You will find room service at the property. The hotel also offers car hire. The nearest airport is Jolly Grant Airport, 59 km from Khirsu By GMVN.","Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet•Bedroom:Wardrobe/Closet•View:Mountain view|View•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Seating Area|Desk•Media & Technology:Satellite Channels|TV•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Services:Daily maid service|Shuttle service (surcharge)|Wake-up service|Car hire|Room service•General:Designated smoking area|Non-smoking throughout|Tile/Marble floor|Heating|Fan|Non-smoking rooms|Newspapers",,3.0,30.12374875460044,,78.79377365112305,http://www.booking.com/hotel/in/khirsu-by-gmvn.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1742658.0,Khirsu By GMVN,204,,2016-09-01 11:52:38 +0000,18.0,Economy Double Room,Hotel Mandakini,,,,http://www.booking.com/,Share,Uttarakhand,a5ea72415f8007fcbe65759830fdd3d9,
"PIPALKOTI, 246472 Pīpalkoti, India – Show map",pīpalkoti,India,2016-09-01,,TRH Pipalkoti offers accommodation in Pīpalkoti. Free private parking is available on site. Certain rooms include a seating area to relax in after a busy day. Rooms are fitted with a private bathroom. TRH Pipalkoti features free WiFi throughout the property. A TV is featured. You will find a 24-hour front desk at the property.,"Bathroom:Toilet paper|Linen|Towels|Bathroom•View:Mountain view|View•Pets:Pets are not allowed.•Living Area:Desk•Food & Drink:Special diet menus (on request)|Breakfast in the room•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Private check-in/check-out|Luggage storage|Wake-up service|24-hour front desk|Room service•General:Designated smoking area|Non-smoking throughout|Tile/Marble floor|Non-smoking rooms|Newspapers•Languages spoken:",,4.0,30.42953964129101,,79.42811608314514,http://www.booking.com/hotel/in/trh-pipalkoti.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1741747.0,TRH Pipalkoti,204,,2016-09-01 11:52:38 +0000,28.0,Economy Double Room,TRH Joshimath (New),,,,http://www.booking.com/,Share,Uttarakhand,72c0af09827bbb620365aa5df523ba1d,
"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map",kumarakom,India,2016-09-01,,"Swasti house boat 2 is located in Kumarakom, 3.9 km from Vembanad Lake. Guests can enjoy the on-site restaurant. Free private parking is available on site. Every room at this hotel is air conditioned and comes with a TV. Certain units have a seating area where you can relax. There is a cash machine, room service, gift shop, and shops at the property. Car hire is available at this hotel and the area is popular for fishing. Kochi International Airport is 60 km away.","Bathroom:Toilet paper|Towels|Bath|Shower•Bedroom:Wardrobe/Closet•View:Lake view|View•Outdoors:Sun terrace|Terrace•Kitchen:Dining table•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Massage|Fishing•Living Area:Dining area|Seating Area•Media & Technology:Cable Channels|TV•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|ATM/cash machine on site|Luggage storage•Entertainment and family services:Baby safety gates|Books, DVDs or music for children•Business facilities:Meeting/banquet facilities•General:Grocery deliveries|Mini-market on site|Designated smoking area|Air conditioning|Shops (on site)|Wake-up service|Hardwood/Parquet floors|Heating|Car hire|Gift shop|Fan|Safety Deposit Box|Room service•Languages spoken:",,2.0,9.616056771806416,,76.42826914787292,http://www.booking.com/hotel/in/swasti-house-boat-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747392.0,Swasti house boat 2,204,,2016-09-01 11:52:38 +0000,1.0,Deluxe Room,,,,,http://www.booking.com/,Share,Kerala,eb6fd33d99aa4a8088caa8f3ecb08275,
"15 A Arani House Ooty, 643002 Ooty, India – Show map",ooty,India,2016-09-01,,"Located 3.4 km from Ooty Lake and 800 m from Hebron School Ooty, The Hill Side offers accommodation in Ooty. The property is 1 km from Ooty Botanical Gardens and free private parking is offered. Free WiFi is provided throughout the property. A flat-screen TV is available. Other facilities at The Hill Side include a terrace. Ooty Rose Garden is 1.4 km from The Hill Side, while Ooty Doddabetta Peak is 2.3 km away. The nearest airport is Coimbatore International Airport, 55 km from The Hill Side.","Miscellaneous:Non-smoking rooms•Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet|Hairdryer•Bedroom:Wardrobe/Closet•Outdoors:Terrace•Kitchen:Electric kettle•Room Amenities:Clothes rack|Tile/Marble floor|Soundproofing|Ironing Facilities•Services & Extras:Wake-up service•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Satellite Channels•Food & Drink:Breakfast in the room|Room service•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Cleaning services:Daily maid service|Ironing service|Dry cleaning|Laundry•Languages spoken:",,12.0,11.4134596475073,,76.71859949827194,http://www.booking.com/hotel/in/the-hill-side.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1756349.0,The Hill Side,201,,2016-09-01 11:52:38 +0000,20.0,Standard Room in Apartment,Two Seas Residence,81,8.4,,http://www.booking.com/,Share,Tamil Nadu,cd2caff07410c06831e50a5ed0807f6c,
"Near Railway Station Near Railway Station, 249401 Haridwār, India – Great location -",haridwār,India,2016-09-01,,"Rahi Motel Haridwar is located in Haridwār, 1.5 km from Mansa Devi Temple and 1 km from Har Ki Pauri. Guests can enjoy the on-site restaurant. Free private parking is available on site. The rooms are fitted with a TV with cable channels. Each room is equipped with a private bathroom. Rahi Motel Haridwar features free WiFi . You will find a 24-hour front desk at the property. The hotel also offers car hire. The nearest airport is Jolly Grant Airport, 27 km from the property.","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Slippers|Bathroom|Toilet|Shower•Bedroom:Wardrobe/Closet•Outdoors:Garden•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Desk•Media & Technology:Cable Channels|TV•Food & Drink:Special diet menus (on request)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Private check-in/check-out|Luggage storage|24-hour front desk•Cleaning services:Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Shuttle service (surcharge)|Wake-up service|Tile/Marble floor|Car hire|Packed lunches|Fan|Family rooms|Newspapers|Room service",,,29.94695888439015,,78.15648894550782,http://www.booking.com/hotel/in/rahi-motel-haridwar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1742655.0,Rahi Motel Haridwar,204,,2016-09-01 11:52:38 +0000,32.0,Economy Double Room,Himgiri Residency|Hotel Le Central,55,6.2,,http://www.booking.com/,Share,Uttarakhand,afe4c16fa1512557020acaa51ff744ef,
"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map",kumarakom,India,2016-09-01,,"Situated in Kumarakom, 3.9 km from Vembanad Lake, Swasti house boat 4 features air-conditioned rooms and free private parking. Guests can enjoy the on-site restaurant. Every room includes a TV. Some units feature a seating area where you can relax. You will find a gift shop at the property. Car hire is available at this hotel and the area is popular for fishing. The nearest airport is Kochi International Airport, 60 km from Swasti house boat 4.","Bathroom:Toilet paper|Towels|Bath|Shower•Bedroom:Wardrobe/Closet•View:Lake view|View•Kitchen:Dining table|Refrigerator•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Massage|Fishing•Living Area:Dining area|Seating Area•Media & Technology:TV•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Shared lounge/TV area•Reception services:Concierge service|ATM/cash machine on site|Luggage storage|Ticket service|Currency exchange•Entertainment and family services:Baby safety gates|Books, DVDs or music for children|Board games/puzzles•Business facilities:Meeting/banquet facilities•General:Grocery deliveries|Mini-market on site|Designated smoking area|Air conditioning|Shops (on site)|Wake-up service|Hardwood/Parquet floors|Car hire|Gift shop|Fan|Facilities for disabled guests|Non-smoking rooms|Room service•Languages spoken:",3-star hotel,1.0,9.617156891168982,,76.42783999443054,http://www.booking.com/hotel/in/swasti-house-boat-4.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747391.0,Swasti house boat 4,204,,2016-09-01 11:52:38 +0000,2.0,Deluxe Room,Sreekrishna Houseboat C/o Sreekrishna ayurveda Panchakarma Centre,30,8.2,,http://www.booking.com/,Share,Kerala,b0ac79ef7273575d5ce09de1c8f29db0,
"Upper Cart Road, Next to Birla's House, Mangal Dara, 734301 Kalimpong, India – Great location -",kalimpong,India,2016-09-01,,"Set in Kalimpong, this apartment features a terrace with mountain views. The unit is 20 km from Darjeeling. Free WiFi is provided throughout the property and free private parking is available on site. Towels and bed linen are offered at The Gaff in Kalimpong-Deluxe. Other facilities at The Gaff in Kalimpong-Deluxe include a terrace. Bike hire and car hire are available at the property and the area is popular for fishing. Bagdogra Airport is 44 km from the property.","Parking:Free!
Free private parking is possible on site (reservation is not needed).•Internet:Free!
WiFi is available in all areas and is free of charge.•Kitchen:Dining table|Cleaning products|Stovetop|Oven|Refrigerator•Bedroom:Wardrobe/Closet•Bathroom:Towels|Free toiletries|Toilet paper|Linen|Shared Toilet|Bathroom|Toilet|Shared Bathroom•Living Area:Dining area|Seating Area•Media & Technology:Satellite Channels|TV•Room Amenities:Private entrance|Interconnected room(s) available•Pets:Pets are not allowed.•Accessibility:Upper floors accessible by stairs only•Outdoors:Balcony|Terrace•Food & Drink:Grocery deliveries|Breakfast in the room•Activities:Hiking|Fishing•Building characteristics:Private flat in building•Transport:Airport shuttle (surcharge)|Shuttle service (surcharge)|Car hire|Bicycle rental•Outdoor & View:City view|Mountain view|View•Entertainment and family services:Baby safety gates•Miscellaneous:Family rooms•Languages spoken:",,,27.059790412544466,,88.45860958099365,http://www.booking.com/hotel/in/the-gaff-in-kalimpong-deluxe.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1735523.0,The Gaff in Kalimpong-Deluxe,201,,2016-09-01 11:52:38 +0000,20.0,Deluxe Apartment,Shikher Guest House|Yuru Retreat Delo,51,9.0,,http://www.booking.com/,Share,West Bengal,7d3b623c62754e7c331c3ad815d28fd1,
"Opp. Vishal Mega Mart, Old Ranipur More, 249407 Haridwār, India – Great location -",haridwār,India,2016-09-01,,"One of our bestsellers in Haridwār! Grand Hotel offers accommodation in Haridwār. Every room at this hotel is air conditioned and features a flat-screen TV. The rooms have a private bathroom equipped with a shower. You will find room service at the property. Mansa Devi Temple is 3.3 km from Grand Hotel, while Har Ki Pauri is 2.8 km from the property. The nearest airport is Jolly Grant Airport, 28 km from the property.","Bathroom:Towels|Bathroom|Toilet|Shower•Bedroom:Wardrobe/Closet•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Telephone|TV•Internet:No internet access available.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Services:Room service•General:Air conditioning|Non-smoking throughout|Fan•Languages spoken:",2-star hotel,26.0,29.93724304259766,,78.13998252153397,http://www.booking.com/hotel/in/grand-haridwar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1740370.0,Grand Hotel,204,,2016-09-01 11:52:38 +0000,8.0,Deluxe Double Room,Chitra Grand|Nature Care Village|Amraai,37,7.0,,http://www.booking.com/,Share,Uttarakhand,1f64ffd8607a0d8c65394690929220fb,
"Coonoor Road, Beside Eye Hospital, 643001 Ooty, India – Show map",ooty,India,2016-09-01,,"Situated in Ooty, 2.9 km from Ooty Lake, Hotel Blue Bird boasts a restaurant and free WiFi. Guests can enjoy the on-site bar. Free private parking is available on site. Rooms include a TV with satellite channels. Each room has a private bathroom equipped with a bath or shower. There is a 24-hour front desk at the property. The hotel also offers bike hire. Ooty Rose Garden is 700 m from Hotel Blue Bird, while Hebron School Ooty is 1.6 km from the property. Coimbatore International Airport is 55 km away.","Bathroom:Toilet paper|Linen|Towels|Bath or Shower|Bathroom|Toilet|Free toiletries|Shower•Bedroom:Wardrobe/Closet•View:View•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Bicycle rental•Living Area:Sofa•Media & Technology:Cable Channels|Satellite Channels|Telephone|TV•Food & Drink:Bar|Restaurant•Internet:Free!
WiFi is available in some hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Wake-up service|Tour desk|Car hire|Laundry|24-hour front desk|Room service•General:Hardwood/Parquet floors|Soundproofing",1-star hotel,,11.403198149691535,,76.71464927494526,http://www.booking.com/hotel/in/blue-bird-ooty.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=05&checkin_year_month=2016-12&checkout_monthday=06&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1745624.0,Hotel Blue Bird,204,,2016-09-01 11:52:38 +0000,24.0,Deluxe Double Room with Bath,"La Flora Amberley Resort, Ooty|The Abode|DiviheritageInn",6,5.8,Cleanliness:6.3|Comfort:6.7|Location:5.4|Facilities:5.8|Staff:5.8|Value for money:5|Free WiFi:2.5,http://www.booking.com/,Share,Tamil Nadu,56d39d34f2697247c00df091dd743c92,
"Kasturba Road, Near Matheran Market, 410102 Mātherān, India – Great location -",mātherān,India,2016-09-01,,"One of our bestsellers in Mātherān! Hotel Premdeep offers accommodation in Mātherān. Each room at this hotel is air conditioned and comes with a TV. Hotel Premdeep features free WiFi throughout the property. You will find a tour desk at the property. Mumbai is 47 km from Hotel Premdeep, while Lonavala is 29 km from the property. Chhatrapati Shivaji International Mumbai Airport is 44 km away.","Outdoors:Garden•Pets:Pets are not allowed.•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:No parking available.•Services:Tour desk•General:Air conditioning",2-star hotel,,18.98533639180339,,73.26979637145996,http://www.booking.com/hotel/in/premdeep.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1756188.0,Hotel Premdeep,204,,2016-09-01 11:52:38 +0000,15.0,Deluxe Single Room,Nakshatra Residency,7,7.9,Cleanliness:7.5|Comfort:7.5|Location:8.6|Facilities:7.9|Staff:8.2|Value for money:7.5,http://www.booking.com/,Share,Maharashtra,e914e1fc861cfaf9fba1d19746b10074,
"10 Duraisamy Reddy Street West Tambaram near passport office, 600045 Tambaram, India – Show map",tambaram,India,2016-09-01,,"Featuring free WiFi, Grand Parkway is located in Tambaram, 7 km from B. S. Abdur Rahman University. Free private parking is available on site. Each room at this hotel is air conditioned and has a flat-screen TV. Certain units include a seating area where you can relax. For your comfort, you will find bathrobes, slippers and free toiletries. There is a 24-hour front desk at the property. The hotel also offers car hire. The nearest airport is Chennai International Airport, 8 km from Grand Parkway.","Bathroom:Linen|Towels|Towels/Sheets (extra fee)|Slippers|Toilet|Free toiletries|Bathrobe|Shower•Bedroom:Wardrobe/Closet|Dressing Room•View:View•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Hot tub/jacuzzi•Living Area:Fireplace|Seating Area|Desk•Media & Technology:Flat-screen TV|Cable Channels|Satellite Channels|Telephone|TV•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in the hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Currency exchange|24-hour front desk•Cleaning services:Daily maid service|Trouser press|Ironing service|Dry cleaning|Laundry•Business facilities:Business centre|Meeting/banquet facilities•General:Shared lounge/TV area|Air conditioning|Non-smoking throughout|Mosquito net|Wake-up service|Tile/Marble floor|Soundproofing|Car hire|Interconnected room(s) available|Soundproof rooms|Lift|VIP room facilities|Fan|Family rooms|Non-smoking rooms|Newspapers|Room service•Languages spoken:",,,12.929668744008222,,80.11982560157776,http://www.booking.com/hotel/in/grand-parkway.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1737908.0,Grand Parkway,204,,2016-09-01 11:52:38 +0000,29.0,Deluxe Twin Room,Hotel Maruthi Residency|Savera Hotel|Paramount Inn,44,7.3,Location:7.7|Comfort:7.6|Cleanliness:7.5|Staff:7.2|Value for money:6.9|Facilities:6.5,http://www.booking.com/,Share,Tamil Nadu,67f1701cdae5a4f8bd02334030fa3022,
"Ring Road, Laxminagar, 415523 Phaltan, India – Show map",phaltan,India,2016-09-01,,"Hotel Aaryamaan offers accommodation in Phaltan. Guests can enjoy the on-site restaurant. Free private parking is available on site. All rooms come with a flat-screen TV. Some rooms feature a seating area for your convenience. Every room includes a private bathroom equipped with a shower. Hotel Aaryamaan features free WiFi . There is room service at the property. The nearest airport is Pune International Airport, 86 km from the property.","Bathroom:Linen|Towels|Bathroom|Toilet|Free toiletries|Shower•Bedroom:Wardrobe/Closet•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Cable Channels|Telephone•Food & Drink:Restaurant•Internet:Free!
WiFi is available in some hotel rooms and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Laundry•General:Airport shuttle (surcharge)|Shuttle service (surcharge)|Air conditioning|Non-smoking throughout|Mosquito net|Executive Lounge Access|Wake-up service|Tile/Marble floor|Carpeted|Lift|Fan|Family rooms|Facilities for disabled guests|Non-smoking rooms|Room service•Languages spoken:",2-star hotel,,17.983743489361025,,74.43491924910427,http://www.booking.com/hotel/in/aaryamaan.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1737347.0,Hotel Aaryamaan,204,,2016-09-01 11:52:38 +0000,22.0,Deluxe King Suite,,,,,http://www.booking.com/,Share,Maharashtra,cd5c6f504a77c63c23734049f67dc99b,
"8177/8178, Arakashan Road, Pahar Ganj, New Delhi, Delhi 110055, Paharganj, 110055 New Delhi, India – This neighbourhood is a great choice for travellers interested in city trips, sightseeing, and shopping – Check location Show map",new delhi,India,2016-09-01,,"One of our bestsellers in New Delhi! Offering a terrace and views of the city, White House Tourist Lodge is situated in the Paharganj district in New Delhi. Guests can enjoy the on-site restaurant. All rooms have a flat-screen TV. Bike hire and car hire are available at this hotel and the area is popular for cycling. Jantar Mantar is 2.1 km from White House Tourist Lodge, while Red Fort is 2.7 km from the property. Delhi International Airport is 15 km away. Paharganj is a great choice for travellers interested in city trips, sightseeing and shopping.","Bathroom:Toilet paper|Linen|Towels|Bath or Shower|Toilet|Free toiletries|Shower•View:City view|Landmark view|View•Outdoors:Terrace•Pets:Pets are not allowed.•Activities:Cycling|Bicycle rental•Media & Technology:Flat-screen TV|Cable Channels|Satellite Channels|Telephone|TV•Food & Drink:Restaurant (à la carte)|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:No parking available.•Reception services:Lockers|Private check-in/check-out|Concierge service|Luggage storage|Ticket service|Tour desk|Currency exchange|Express check-in/check-out|24-hour front desk•Cleaning services:Trouser press|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Adult only|Mini-market on site|Shared lounge/TV area|Airport shuttle (surcharge)|Vending machine (snacks)|Vending machine (drinks)|Shuttle service (surcharge)|Air conditioning|Shops (on site)|Wake-up service|Car hire|Packed lunches|Soundproof rooms|Gift shop|Safety deposit box|Fan|Facilities for disabled guests|Ironing Facilities|Non-smoking rooms|Iron|Newspapers|Safety Deposit Box|Room service",2-star hotel,,28.64584559551335,Paharganj,77.21589300754852,http://www.booking.com/hotel/in/white-house-tourist-lodge.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1739054.0,White House Tourist Lodge,204,Paharganj,2016-09-01 11:52:38 +0000,21.0,Deluxe Double Room,Hotel Sai International|Rams Inn|Stops Hostel Delhi,966,8.6,,http://www.booking.com/,Share,Delhi NCR,ee477db544e723c91d81e52cc9586c55,Paharganj
